"Speaker","Section","Item Ref","Utterance"
"Priya","Now Bucket","R-010 Staging Environment","R-010 — I own this per the writeup. Staging instance with synthetic data — I can have ≥50 synthetic jobs and 10 synthetic technicians up by mid-May. Add that to the Roadmap as a target if useful."
"Marcus","Now Bucket","R-011 App Store + Play Store Setup","R-011 — approved. Reminder for both of us: developer account setup has its own paperwork timeline. Apple's verification can take 2-4 weeks for new accounts. Don't leave this to Q3 — start the account provisioning in Q2 even though the listings happen later. Can we adjust the writeup to call out account provisioning as a separate sub-task with an earlier start?"
"Marcus","Next Bucket","Overall","Next bucket — 8 initiatives. Let me go through."
"Marcus","Next Bucket","R-012 Sundance HVAC Pilot","R-012 — status update. I confirmed verbally with Dave last call, written agreement pending the one-pager from your side. Update status from ""Provisional"" to ""Verbally Confirmed — Written Pending"" or however you want to phrase it. Direction is locked, paperwork in flight."
"Marcus","Next Bucket","R-012 Sundance HVAC Pilot","Also — Dave gave us 3 technicians, not 2. The writeup says ""2-3"" which is fine, but flag that he wants a small team rotation, not solo testers. Has minor implications for how we structure the pilot."
"Marcus","Next Bucket","R-013 Production Go-Live & Phased Rollout","R-013 — approved. Phased rollout to 5-10 most-vocal customers first, then expand to 30-40% adoption target — this matches what I'd planned in my head. The fact that it's written down means I won't drift."
"Marcus","Next Bucket","R-014 Training Materials","R-014 — approved. ""Short videos, not manuals"" — yes. Owner says BA + UX Designer TBC. Jenna Rodriguez will be involved on our side too — she'll be doing the actual customer-facing rollout. Can we add her as co-owner on the FieldPulse side?"
"Marcus","Next Bucket","R-015 Post-Launch Support","R-015 — approved structurally. The ""M (sustained)"" effort sizing concerns me a little — I want to make sure that's actually been costed against the $180K-$250K envelope. Is post-launch support inside the envelope or a separate scope conversation? I read your internal note flagging this and I want to settle it now, not later."
"Marcus","Next Bucket","R-015 Post-Launch Support","My position: I want post-launch support inside the envelope for budgeting clarity. If that means MVP scope shrinks slightly to make room, I'd rather know that now. If it means we cut R-005 schedule view from MVP to fit, that's a conversation worth having."
"Marcus","Next Bucket","R-016 In-App Dispatcher Chat","R-016 — approved as Provisional. This is the one I said at kickoff I'm most likely to push back into scope mid-project if budget allows. Note that here so it's not a surprise."
"Marcus","Next Bucket","R-017 GPS Auto Check-in","R-017 — approved as Provisional. No comments."
"Marcus","Next Bucket","R-018 Parts Inventory Lookup","R-018 — approved as Provisional. No comments."
"Marcus","Next Bucket","R-019 Customer History View","R-019 — approved as Provisional. Of the four cut-from-MVP items, this is the one customers ask about second-most after dispatcher chat. So if dispatcher chat goes back into MVP via budget headroom, customer history is the next one in line."
"Marcus","Later Bucket","Overall","Later bucket — 5 placeholders. Less to comment on since these are strategic, not committed."
"Marcus","Later Bucket","R-020 iOS Feature Parity","R-020 — approved as a placeholder. Important hedge given we may go Android-first."
"Marcus","Later Bucket","R-021 Push Notifications Expansion","R-021 — fine."
"Marcus","Later Bucket","R-022 Analytics & Reporting Expansion","R-022 — interested in this one. Mobile-derived analytics surfaced to FieldPulse customers as a customer-success conversation tool — that's a real revenue lever post-launch. Keep it on the radar even if it's Later."
"Marcus","Later Bucket","R-023 Office Dispatcher Mobile Capability","R-023 — fine as a placeholder. Honestly I don't think we'll do this in the project window. Dispatchers are at desks, the web is fine for them. But not removing it."
"Marcus","Later Bucket","R-024 QuickBooks Integration","R-024 — fine as a placeholder. This is the one customers ask about most that's *not* in mobile scope. Keeping it on the Roadmap as Later signals to anyone reading that we know it matters, even though it's a separate initiative."
"Marcus","Internal Notes","Capacity assumption","Your internal notes — I shouldn't be reading these technically, but since I am: the capacity assumption sized to $180K-$250K with the team comp listed (BA + PM + Tech Lead + 2 mobile devs + QA + part-time DevOps + part-time UX) — I'd like to see this confirmed at the next status call as you noted. Don't want to assume a team and find out it doesn't fit."
"Marcus","Internal Notes","Open prioritisation questions","The four open prioritisation questions you have at the bottom — let me answer the ones I can right now:"
"Marcus","Internal Notes","Now-bucket confirmation","1. Confirm the Now-bucket initiative list — confirmed, with the small updates I called out (R-008 status change, R-011 account provisioning callout, R-012 status change)."
"Marcus","Internal Notes","Next-bucket sequencing","2. Next-bucket sequencing — if budget headroom appears post-launch, dispatcher chat (R-016) returns first, customer history (R-019) second, GPS auto check-in (R-017) third, parts inventory (R-018) fourth."
"Marcus","Internal Notes","Post-launch support pricing","3. Post-launch support pricing — answered above on R-015. Inside the envelope, please."
"Marcus","Internal Notes","Sundance pilot timing","4. Sundance pilot timing — anchor the pilot to *finish* before peak summer, not start before it. Phoenix HVAC peak is brutal mid-July through August. So pilot end of June ideally, into early July latest. That backs up implementation timing."
"Marcus","Approval","","Overall: Roadmap approved with the small amendments I called out. Specifically:"
"Marcus","Approval","Amendment 1","1. R-008 status update — Decided, Auth0."
"Marcus","Approval","Amendment 2","2. R-011 callout — App/Play Store account provisioning starts in Q2."
"Marcus","Approval","Amendment 3","3. R-012 status update — Verbally Confirmed, written pending. 3 technicians, team rotation."
"Marcus","Approval","Amendment 4","4. R-014 — Jenna Rodriguez added as FieldPulse-side co-owner."
"Marcus","Approval","Amendment 5","5. R-015 — confirmed inside envelope, with explicit acknowledgment that this may pressure MVP scope."
"Marcus","Approval","Amendment 6","6. R-006 — flag wrapper layer as planned, not conditional (per Priya)."
"Marcus","Approval","Amendment 7","7. R-003 — note that retention scope may firm up post legal review."
"Marcus","Approval","Charter sign-off interaction","Since I haven't signed the Charter yet, send the revised Charter and the updated Roadmap together. I'll review both and DocuSign the Charter in the same pass. Roadmap doesn't need a signature since it's a living doc, but I want the version stamp on it after these amendments are made."
"Marcus","Approval","","Anything you need from me to make these updates?"
"Priya","Approval","","From my side — once R-008 status reflects the Auth0 decision and R-006 reflects the wrapper layer, I'm happy. No other technical changes."
