"Speaker","Section","Item Ref","Utterance"
"Priya","1. Document Review","Charter §4 Constraints — Technical/Legacy","Constraints section, technical-legacy row — accurate. The line about Tomás being on a 5-hours-per-week retainer is correct as written. One addition: the retainer is verbal, not contractual. If that matters for your risk register, flag it."
"Priya","1. Document Review","Charter §4 Constraints — Offline-by-default","Offline-by-default constraint — accurate and well-stated. The phrase ""material architectural implications for state management and conflict resolution"" is exactly right. Don't soften it."
"Marcus","1. Document Review","Charter §4 Constraints — Timeline","Timeline constraint — accurate. ""Solid product in early Q4 over a shaky one in Q3"" is a direct quote and I stand by it."
"Marcus","1. Document Review","Charter §4 Constraints — Budget","Budget — accurate. $180K–$250K envelope confirmed. No change."
"Marcus","1. Document Review","Charter §4 Constraints — Regulatory","Regulatory constraint — this is where I want to add a comment. The phrasing ""flow-down implications unknown and require legal review"" is accurate but I want it to be more visible. Can we promote that to a top-level open item in §5 risks, not just buried in constraints? It's the thing most likely to bite us."
"Marcus","1. Document Review","Charter §5 Risks & Assumptions","Risks & Assumptions — approved as written. I'd actually want to see the full RAID Log at some point — you reference it but I haven't seen it. Send it across this week if you can."
"Marcus","1. Document Review","Charter §6 Milestones","Milestones — approved structurally. One question: the ""MVP definition"" milestone says it depends on Priya's architecture one-pager. Priya will get to that in agenda item 3 but yes, that's a real dependency."
"Marcus","1. Document Review","Charter §7 Stakeholders","Stakeholders — approved. Add Jenna Rodriguez's email to the register when you do the next pass: jenna@fieldpulse.io. Dave Martinez I haven't confirmed yet, that's agenda item 3."
"Marcus","1. Document Review","Charter §8 Approval","Approval — see agenda item 4. I'll address sign-off there."
"Marcus","1. Document Review","Product Vision","Vision document — approve, no changes. This one I have less to say about because it's tighter than the Charter and I think it nails it."
"Marcus","1. Document Review","Vision §1 Why This Product Exists","The opening paragraph — ""nine customer businesses have left FieldPulse over the last twelve months"" — that's the right framing. Not nine in a calendar year, nine in a rolling twelve-month window when you include Q1 2026. Sharper than how I'd have written it myself."
"Marcus","1. Document Review","Vision §4 What Success Looks Like","Success criteria — these are the right five. The 30% daily-active floor at month three is the one I'd hold you to most aggressively, and you've captured it."
"Marcus","1. Document Review","Vision §6 What This Product Is Not","""What This Product Is Not"" — love this section. Genuinely. This is the section I'll forward to anyone internally who starts asking ""can we just add…"""
"Priya","1. Document Review","Product Vision","Engineering perspective — Vision is fine. No technical concerns."
"Marcus","1. Document Review","Product Roadmap","Roadmap — I want to flag that I haven't seen this document yet. You attached the Charter and Vision but not the Roadmap. Can you resend? I want to review it before I commit to it as the CR baseline."
"Marcus","1. Document Review","Product Roadmap","I'll give a conditional approval pending that review. If the Now / Next / Later structure follows what we discussed at kickoff — MVP five features in Now, the cut-from-MVP items in Next, broader integrations in Later — I'm probably fine. But I want to lay eyes on it."
"Marcus","2. Auth Strategy Direction","","Okay, big one. Priya, you take the lead on the migration timeline first, then I'll weigh in on the strategic call."
"Priya","2. Auth Strategy Direction","Auth0 migration timeline","Auth0 migration — current state. We've signed with Auth0, account is provisioned, we have a proof-of-concept running in a dev environment. Realistic timeline to production cutover for the web platform: 4 to 6 months from today, so call it August to October 2026. That's *if* nothing slips, and these things always slip."
"Priya","2. Auth Strategy Direction","Auth0 migration timeline","Why so long: it's not the technical migration that's hard, it's the user migration. We have ~950 technician accounts plus dispatcher accounts plus admin accounts, all with hashed passwords in our custom system. Migrating those without forcing a mass password reset takes care. We're planning a bulk import using Auth0's hash-import flow but we need to validate the hash format compatibility first."
"Priya","2. Auth Strategy Direction","Recommendation","My strong technical recommendation: build PulseField Mobile against Auth0 from day one. Reasons:"
"Priya","2. Auth Strategy Direction","Recommendation","1. Building against custom-rolled auth and migrating later means doing the auth integration work twice. That's 2-3 weeks of mobile engineering wasted, conservatively."
"Priya","2. Auth Strategy Direction","Recommendation","2. Auth0 gives us mobile-friendly flows out of the box — biometric login, refresh tokens, social login if we ever want it. Our custom auth doesn't, and retrofitting it for mobile is itself a project."
"Priya","2. Auth Strategy Direction","Recommendation","3. SOC 2 readiness — Auth0 is SOC 2 Type II certified. Custom-rolled auth would be a finding in our SOC 2 audit. Doing mobile against the thing we're going to fail an audit on doesn't make sense."
"Priya","2. Auth Strategy Direction","Risk acknowledgment","The risk: if Auth0 migration slips past mobile launch readiness, mobile is blocked on a dependency outside Relevant's control. That's real. Mitigation: the mobile app integrates against Auth0 in a *parallel* environment from the start — Auth0 doesn't require the web platform to be migrated for mobile to use it. Mobile can ship against Auth0 with web still on custom-rolled, then web migrates over the following months. Both systems coexist briefly."
"Marcus","2. Auth Strategy Direction","Strategic call","Priya, that's the answer I was hoping you'd give. I trust your read on this."
"Marcus","2. Auth Strategy Direction","Strategic call","Decision: PulseField Mobile authenticates against Auth0 from day one. We accept the dependency risk on Auth0 migration and Priya owns the mitigation."
"Marcus","2. Auth Strategy Direction","ADR ownership","ADR drafted by your Tech Lead within two weeks, accepted by Priya — confirmed. Priya, you'll need an intro to their tech lead — let's get that scheduled this week."
"Priya","2. Auth Strategy Direction","ADR ownership","Works for me. I'll prep a short briefing on our Auth0 setup so we don't waste their tech lead's time figuring out the basics."
"Marcus","3. Open RAID Items","D-004 Sundance pilot","D-004 — Sundance HVAC pilot. I called Dave Martinez Friday afternoon. He's in. Verbally committed. He'll give us 3 technicians, not 2 — he wants a small team rotation rather than two solo testers, says it's more realistic to how his shop works. He wants a one-page summary of what the pilot involves before he commits in writing. Can you draft that and I'll forward?"
"Marcus","3. Open RAID Items","D-004 Sundance pilot","Status: confirmed verbally, written agreement pending. Realistic ETA for written confirmation: two weeks once Dave has the one-pager."
"Marcus","3. Open RAID Items","D-007 Notion notes & sketch","D-007 — my Notion notes. I'll share by end of this week. I'm going to do one cleanup pass first because there's some half-formed stuff in there that's not useful. Cleaned version, not raw. The whiteboard photo I'll send today, no cleanup needed."
"Priya","3. Open RAID Items","D-008 Architecture one-pager","D-008 — architecture one-pager. I have a draft. I want to take one more day on it because I want to include the API endpoint inventory, not just the architecture diagram. Realistic delivery: end of day Wednesday this week."
"Marcus","3. Open RAID Items","D-009 Legal review","D-009 — legal review. This is the one I'm slowest on. I don't have outside counsel today. I have a relationship with a small firm in Austin that did our incorporation, but they're not specialists in software / privacy. I need to either engage them with a defined scope or find a privacy-specialist firm."
"Marcus","3. Open RAID Items","D-009 Legal review","Realistic plan: I'll have a lawyer engaged by end of next week, with a 2-3 week turnaround on findings after engagement. So legal-review findings land mid-to-late May. Worst case early June."
"Marcus","3. Open RAID Items","D-009 Legal review","Scope of legal review I'm asking for: CCPA exposure assessment, gov-contractor flow-down for our school-district and municipal-building customers, and SOC 2 readiness gap analysis. That's the brief I'll give them."
"Marcus","3. Open RAID Items","A-006 Regulatory exposure","A-006 — no update from my side since kickoff. Holding for legal review per D-009. I'll come back to you with concrete answers in May."
"Marcus","3. Open RAID Items","I-001 / I-002 Data residency & breach notification","I-001 and I-002 — data residency policy and breach notification policy. These get drafted as part of SOC 2 work, not separately. Owner is Priya, with input from whatever lawyer I engage on D-009."
"Priya","3. Open RAID Items","I-001 / I-002 Data residency & breach notification","Confirmed. SOC 2 program kickoff is scheduled for late May. Both policies will be drafted by July as part of that workstream. I'll loop you in when we have drafts in case anything affects mobile."
"Marcus","3. Open RAID Items","R-007 No design lead","R-007 — design lead. I've thought about this since kickoff. I don't want to hire a contract designer right now. Reasons: hiring delay, ramp-up time, and another voice in the room when we're already small. My preference: Relevant's UX Designer carries the design weight, and we set up structured reviews where Jenna and I sign off at clear milestones."
"Marcus","3. Open RAID Items","R-007 No design lead","What I'd want to see for that to work: a design review cadence — say, every two weeks — with mockups walked through live, not sent as static files. Decisions captured in writing after each review. I'm worried about decisions getting made in conversation and forgotten."
"Marcus","4. Charter Sign-Off Path","","Charter sign-off. I want to sign now, not hold for legal review."
"Marcus","4. Charter Sign-Off Path","Rationale","Reasoning: holding sign-off until mid-May for legal findings means six weeks of softer commitment on both sides. I'd rather lock the baseline today, accept that legal findings may produce a v1.1 amendment, and let the team move."
"Marcus","4. Charter Sign-Off Path","Conditions","One condition: when I sign, I want a short cover note from you acknowledging that v1.1 amendment is anticipated based on D-009 legal review, so it's clear we both knew about the open item at sign-off. Not a dispute later that I should have waited."
"Marcus","4. Charter Sign-Off Path","Mechanism","DocuSign. Send it across whenever you've made the small Charter edits I asked for in agenda item 1 — Objective 2 wording, the no-in-app-payment exclusion, regulatory open item promoted up. I'll sign within 48 hours of receiving it."
"Marcus","5. Cadence & Comms","Weekly status calls","Status calls — Wednesday mornings, 9am Central. Lock it. Tuesday is too close to Monday recovery, Wednesday gives me a clean window. 30 minutes hard stop."
"Marcus","5. Cadence & Comms","Friday written updates","End-of-Friday written updates — confirmed. Me and Priya as recipients. Short bullet points. If it's longer than one screen on my laptop I'll bounce it back."
"Priya","5. Cadence & Comms","Slack workspace","Slack — workspace exists, fieldpulse.slack.com. I'll create a channel #pulsefield-mobile today and send invites to Vadim, your PM, and your Tech Lead. Send me their work emails by end of day."
"Marcus","5. Cadence & Comms","CR threshold","CR threshold — confirmed as written in the Charter. Under 10% scope change, my call alone. 10% or above, Marcus plus Priya jointly. Both sign-offs needed for the larger ones."
"Marcus","5. Cadence & Comms","CR threshold","One clarification I want to add: scope change is measured against the Roadmap baseline once Roadmap is signed off, not against the Charter. Charter is the high-level contract, Roadmap is the working baseline. Make sure the Tech Lead and PM are clear on that."
"Marcus","Close","","Recap of my action items: send you a list of the small Charter edits in writing today; share the whiteboard photo today; share cleaned Notion notes by end of week; engage a lawyer by end of next week; draft Sundance one-pager — actually that's on you. I'll forward it to Dave once you send."
"Marcus","Close","","What I need from you: revised Charter with my edits for DocuSign; the Roadmap document I haven't seen; the full RAID Log; the Sundance pilot one-pager. Anything else I'm missing?"
"Priya","Close","","On my side: architecture one-pager Wednesday EOD; Slack channel and invites today; intro to your Tech Lead this week for the Auth0 ADR conversation."
"Marcus","Close","","Good. Vadim — same question as last time. What worries you most after this conversation?"
