"Speaker","Section","Question Ref","Utterance"
"Marcus","2. Stakeholders & Decision Making","2.5","Jenna, who I just mentioned — customer success lead, will have opinions. And probably Dave from Sundance once we get further. No investors who need to weigh in. No design lead — we don't have one, which… is probably a gap, isn't it."
"Marcus","2. Stakeholders & Decision Making","2.6","Realistic turnaround — within 48 hours for normal stuff, same-day for blockers. Document reviews I'd say give me 3 business days. I'll be honest, I'm bad at long documents. If you give me a 40-page spec I will procrastinate. Shorter is better."
"Marcus","2. Stakeholders & Decision Making","Internal note answer","Priya's full name is Priya Krishnan, email is priya@fieldpulse.io, phone she'll share separately."
"Marcus","3. Domain & Regulatory","","(Marcus laughs nervously) Okay, this is the section where I'm going to look least prepared."
"Marcus","3. Domain & Regulatory","3.1","Honestly? I don't think there's much that touches the software directly. The HVAC and plumbing trades are regulated at the state level — licensing, code compliance for the work itself — but as far as I know that doesn't reach us. We hold customer info, technician info, job records. I don't think we're regulated as a SaaS. But I'm not 100% sure and we've never had a lawyer review this. Big honest gap on my side."
"Marcus","3. Domain & Regulatory","3.2","We have customers in California, yes, so CCPA applies to some of their end-customers' data that flows through us. We don't have a formal data residency policy. We've had zero breaches that I know of, but also — we don't have formal breach notification procedures written down. Which I'm now realizing as I say it out loud is probably bad."
"Marcus","3. Domain & Regulatory","3.3","(thinks) Government contractors — yeah, actually. Two of our customers do work for school districts and one does work for a small municipal building. I don't think that pushes anything onto us, but I genuinely don't know. None of our customers are healthcare-adjacent that I'm aware of."
"Marcus","3. Domain & Regulatory","3.4","Some of our customers want signed-job records kept for warranty and dispute purposes — typically 2-7 years depending on the job. That's a customer expectation, not a regulatory one as far as I know. We've never been asked for a regulatory audit."
"Marcus","3. Domain & Regulatory","3.5","(shifts in chair) This one I have a real answer on. Yes, SOC 2 is coming. We've had three prospects in the last six months ask about it and we lost at least one deal because we don't have it. I was planning to start that process this year regardless of the mobile project. So whatever we build needs to not be a barrier to SOC 2 readiness."
"Marcus","4. Existing Systems & Integrations","4.1","Beyond our web platform: Stripe for payments, Twilio for SMS (the assignment messages), Google Maps embedded for technician routing, and SendGrid for transactional email. That's the stack of third parties currently. No push-notification provider yet because we don't have a mobile app."
"Priya","4. Existing Systems & Integrations","4.2","(takes over) So — APIs exist but the documentation is… let's call it sparse. There's a Postman collection from when the freelancer left and a README that's about 60% accurate. The original freelancer is reachable, he's a guy named Tomás Ribeiro, works in Lisbon. We have a casual retainer with him — he's available about 5 hours a week for emergencies but he's not really involved in active development anymore. We last touched the APIs maybe four months ago when we added a small reporting feature. The APIs are RESTful, JSON, mostly sane. Some endpoints are inconsistent on naming conventions. There's no formal API versioning. I'd say it's ""okay"" — not great, not a disaster."
"Priya","4. Existing Systems & Integrations","4.3","PostgreSQL backing the platform, hosted on AWS RDS. The mobile app should talk to the platform via API only — I don't want it touching the database directly under any circumstances. That's a hard line for me."
"Priya","4. Existing Systems & Integrations","4.4","Stripe and Twilio I mentioned. We also use Intercom for in-app support chat on the web — open question whether that should extend to mobile. We have Sentry for error tracking. Mixpanel for analytics, lightly used. No CDN beyond CloudFront for AWS assets."
"Marcus","4. Existing Systems & Integrations","4.5","This is a big one. So — HVAC and plumbing technicians are in basements, crawlspaces, mechanical rooms, sometimes new construction sites with no service. Offline has to work. I'd say: assume offline-by-default with sync-when-available. A technician should be able to start a job, fill out a form, capture photos, get a customer signature — all offline — and have it sync when they come back into signal. If we don't get this right, the app is dead on arrival."
"Priya","4. Existing Systems & Integrations","4.5","Which has real architectural implications for state management and conflict resolution. Worth flagging early."
"Marcus","5. Scope & Constraints","5.1","Out of scope — (reads from notebook) — confirmed: customer-facing portal, admin/back-office UI redesign, web platform rewrite, payment processing changes, expansion beyond HVAC and plumbing. I'll add: no marketing website work, no migration of historical job data into a new structure — the mobile app reads what's there. And no integrations with third-party accounting software like QuickBooks even though customers ask for it — that's a separate roadmap item."
"Marcus","5. Scope & Constraints","5.2","(takes a breath) I'd love both iOS and Android. Realistically, looking at our customer base — technicians skew Android. Maybe 65% Android, 35% iPhone, that's a guess from looking at the phones our pilot customer's techs use. If we have to pick one for v1, Android. But ideally both. Phone only, no tablets — most technicians don't carry tablets in the field. Minimum OS — I'd defer to Priya on what's reasonable."
"Priya","5. Scope & Constraints","5.2","I'd say Android 10+ and iOS 15+. That covers the vast majority of devices technicians would have without forcing us to support five-year-old hardware."
"Marcus","5. Scope & Constraints","5.3","MVP — ranked, three to five things:"
"Marcus","5. Scope & Constraints","5.3","1. Receive job assignment with full details (replaces SMS + phone-back-to-office)"
"Marcus","5. Scope & Constraints","5.3","2. Capture job completion data — checklist, notes, photos, parts used, time on site — fully offline-capable"
"Marcus","5. Scope & Constraints","5.3","3. Customer signature capture at job completion"
"Marcus","5. Scope & Constraints","5.3","4. Sync to web platform when connectivity returns, surfacing in dispatcher view"
"Marcus","5. Scope & Constraints","5.3","5. Basic technician schedule view — what's my day look like"
"Marcus","5. Scope & Constraints","5.3","Things I'd love but am willing to cut from MVP: in-app chat with dispatcher, GPS-based ""I've arrived"" auto check-in, parts inventory lookup, customer history view."
"Marcus","5. Scope & Constraints","5.4","Q3 — honest answer: it's a rough preference, not a hard commitment. What's actually driving it is competitor pressure — ServiceTitan keeps eating our lunch and I want to have something in the field before their next sales push, which historically peaks in Q4 going into the new year. So if we slip a month I won't sue you. If we slip three months I might. (half-smiles) Honestly, I'd rather have a solid product in early Q4 than a shaky one in Q3."
"Marcus","5. Scope & Constraints","5.5","Budget. Okay. (takes a breath) — I've been thinking about this. We have $180K to $250K earmarked for this initiative this year. That's the envelope. Above $250K I'd need to have a hard conversation with myself and probably my angels. Below $180K I'd worry we're cutting corners. I know that's small for what I'm asking. Tell me if it's unrealistic, but tell me sooner rather than later."
"Marcus","5. Scope & Constraints","5.6","US-only confirmed. We have two Canadian customers — both in Ontario — but they're fine being on the US version of the product, no localization needed. No expansion plans during the project window."
"Marcus","6. Existing Documentation & Prior Work","6.1","No formal spec, no wireframes, no prototype. I've got maybe 15 pages of notes in Notion from conversations with customers about what they want. Some sketches on a whiteboard photo I took six months ago. I'll share both. That's it."
"Marcus","6. Existing Documentation & Prior Work","6.2","Yes — we own all the source code, it's in our GitHub org. Tomás's documentation is what Priya described — partial. Tests… (looks at Priya)"
"Priya","6. Existing Documentation & Prior Work","6.2","There are tests. They run. Coverage is around 40%. The integration tests are flakier than I'd like."
"Marcus","6. Existing Documentation & Prior Work","6.3","Tomás is fine to work with on a consultative basis. No unresolved issues. What worked: he shipped a working product on a tight budget. What didn't: he's a one-person show and the codebase reflects that — solo conventions, some quirks, and any new developer needs a few weeks to ramp up. We don't have ill will, just outgrew him."
"Marcus","6. Existing Documentation & Prior Work","6.4","We've talked to two other vendors before you. One quoted us $400K and a 9-month timeline, which made me cough. The other quoted $90K and a 3-month timeline, which made Priya laugh. We picked Relevant because the conversation felt real. So my main learning: I now have a wide range of what ""this costs"" and I don't fully trust either anchor."
"Marcus","7. Communication & Working Preferences","7.1","Slack — shared workspace, please. Email for formal documents, Slack for everything else. I check Slack constantly. Email I batch."
"Marcus","7. Communication & Working Preferences","7.2","Weekly status calls, 30 minutes, same time every week. I'd suggest Tuesday or Wednesday mornings my time — Central. Not Mondays, Mondays are awful."
"Marcus","7. Communication & Working Preferences","7.3","Written status updates: me and Priya, weekly, end of Friday so I can read it over coffee Monday. Short. Bullet points. Please don't send me five-page status reports."
"Marcus","7. Communication & Working Preferences","7.4","Urgent — Slack DM to me first, Priya second. If neither of us responds in two hours during business hours, escalate by phone. We can share numbers. Outside business hours: only true blockers."
"Marcus","7. Communication & Working Preferences","7.5","Digital signing is fine. DocuSign or even a signed-PDF-by-email works. I'd actually prefer it to paper. We're a remote-first 12-person company, paper isn't really how we operate."
"Marcus","8. UAT & Go-Live","8.1","As I said in 2.4 — primary plan: Sundance HVAC (Dave Martinez's team, Phoenix) running 2-3 of his technicians on a real-world pilot. Internal proxy testing by Jenna Rodriguez (customer success) and probably myself and Priya doing structured walkthroughs before we ever expose it to Dave. Technical experience expectations — Dave's technicians are not technical, which is exactly what we want; if they can't use it intuitively the app has failed."
"Marcus","8. UAT & Go-Live","8.2","Yes, staging environment, separate from production. Test data — we should use synthetic data, not anonymized customer data. Privacy reasons and also our anonymization tooling doesn't really exist. Priya can set up a staging instance with seeded synthetic jobs, technicians, and customers."
"Marcus","8. UAT & Go-Live","8.3","Go-live criteria — (thinks):"
"Marcus","8. UAT & Go-Live","8.3","All MVP features functionally pass with 95%+ pass rate"
"Marcus","8. UAT & Go-Live","8.3","App Store + Play Store approval secured"
"Marcus","8. UAT & Go-Live","8.3","Sundance pilot completed with at least two weeks of real-world use and no Sev-1 issues"
"Marcus","8. UAT & Go-Live","8.3","Basic security review passed — even if not full SOC 2, at minimum a checklist"
"Marcus","8. UAT & Go-Live","8.3","Training materials delivered to Sundance technicians (short videos, not manuals)"
"Marcus","8. UAT & Go-Live","8.3","Performance: app launches in under 3 seconds on mid-range Android"
"Marcus","8. UAT & Go-Live","8.3","Sync works reliably in low-connectivity simulation"
"Marcus","8. UAT & Go-Live","8.3","That's off the top of my head — I'd want your help refining."
"Marcus","8. UAT & Go-Live","8.4","Post-launch support — honestly, we're not staffed for it yet. I would want at least 60-90 days of post-launch support from Relevant as part of the engagement, with a clear handoff plan to bring it in-house after that. Bug fixes, minor adjustments, helping us understand what's happening when things go wrong. That's a real ask and I want to flag it as part of scope conversations."
"Marcus","8. UAT & Go-Live","8.5","Yes. HVAC peaks May-September for cooling, November-February for heating. The worst time to push a release that could disrupt anyone is late June through August — that's when an HVAC tech failing to close out a job because of a software bug is going to get me a phone call I don't want. September and October are softer windows. Mid-March through April is also fine. I'd avoid any release in the two weeks around major US holidays — Thanksgiving, Christmas, July 4th — because nobody's around to fix things."
"(stage)","Closing","","Marcus puts his pen down"
"Marcus","Closing","","Okay. That's everything I've got. Some of those answers were tighter than others — the regulatory section I know I was hand-wavy on, and I think we owe you better than that. Is there anything you want me to dig into and come back on?"
"Priya","Closing","","I can also pull together a one-pager on the existing platform's architecture for your tech lead before next call if that's useful."
"Marcus","Closing","","Yeah, and Vadim — what worried you most in what I just said? Be honest."
